Crop,CropYear,Season,State,Area,Production,AnnualRainfall,Fertilizer,Pesticide,Yield
Arecanut,2019,Kharif     ,Andhra Pradesh,1096,10418,899.2,188248.96,405.52,7.253333333
Arhar/Tur,2019,Kharif     ,Andhra Pradesh,237647,114451,899.2,40818248.72,87929.39,0.44
Arhar/Tur,2019,Rabi       ,Andhra Pradesh,5940,3747,899.2,1020254.4,2197.8,0.43
Bajra,2019,Kharif     ,Andhra Pradesh,20484,47045,899.2,3518331.84,7579.08,2.004545455
Bajra,2019,Rabi       ,Andhra Pradesh,4592,11322,899.2,788721.92,1699.04,2.48
Banana,2019,Whole Year ,Andhra Pradesh,97695,5861700,899.2,16780093.2,36147.15,60
Black pepper,2019,Whole Year ,Andhra Pradesh,17645,17645,899.2,3030705.2,6528.65,1
Cashewnut,2019,Kharif     ,Andhra Pradesh,115785,115785,899.2,19887231.6,42840.45,1
Castor seed,2019,Kharif     ,Andhra Pradesh,36827,25270,899.2,6325405.52,13625.99,0.7625
Castor seed,2019,Rabi       ,Andhra Pradesh,1056,637,899.2,181378.56,390.72,0.684
Coconut ,2019,Whole Year ,Andhra Pradesh,104027,1912224000,899.2,17867677.52,38489.99,16935.05846
Coriander,2019,Rabi       ,Andhra Pradesh,1119,553,899.2,192199.44,414.03,0.50375
Cotton(lint),2019,Kharif     ,Andhra Pradesh,653953,424486,899.2,112322967.3,241962.61,0.543846154
Cotton(lint),2019,Rabi       ,Andhra Pradesh,3474,11066,899.2,596694.24,1285.38,3.305
Cowpea(Lobia),2019,Kharif     ,Andhra Pradesh,5816,2612,899.2,998956.16,2151.92,0.503333333
Cowpea(Lobia),2019,Rabi       ,Andhra Pradesh,6792,3532,899.2,1166593.92,2513.04,0.630909091
Dry chillies,2019,Kharif     ,Andhra Pradesh,136183,725388,899.2,23390792.08,50387.71,4.526666667
Dry chillies,2019,Rabi       ,Andhra Pradesh,16899,79638,899.2,2902572.24,6252.63,4.034615385
Ginger,2019,Kharif     ,Andhra Pradesh,294,633,899.2,50497.44,108.78,1.922
Gram,2019,Rabi       ,Andhra Pradesh,458579,558745,899.2,78765529.04,169674.23,1.443636364
Groundnut,2019,Kharif     ,Andhra Pradesh,567875,621906,899.2,97538210,210113.75,2.255384615
Groundnut,2019,Rabi       ,Andhra Pradesh,93389,227739,899.2,16040494.64,34553.93,2.812307692
Guar seed,2019,Kharif     ,Andhra Pradesh,1,0,899.2,171.76,0.37,0
Guar seed,2019,Rabi       ,Andhra Pradesh,6,0,899.2,1030.56,2.22,0
Horse-gram,2019,Kharif     ,Andhra Pradesh,83567,39442,899.2,14353467.92,30919.79,0.251666667
Horse-gram,2019,Rabi       ,Andhra Pradesh,29995,16670,899.2,5151941.2,11098.15,0.606923077
Jowar,2019,Kharif     ,Andhra Pradesh,36981,38880,899.2,6351856.56,13682.97,1.149
Jowar,2019,Rabi       ,Andhra Pradesh,117962,350076,899.2,20261153.12,43645.94,2.358
Linseed,2019,Kharif     ,Andhra Pradesh,133,0,899.2,22844.08,49.21,0
Maize,2019,Kharif     ,Andhra Pradesh,95591,450932,899.2,16418710.16,35368.67,4.653076923
Maize,2019,Rabi       ,Andhra Pradesh,205100,1670288,899.2,35227976,75887,6.698461538
Mesta,2019,Kharif     ,Andhra Pradesh,1714,18265,899.2,294396.64,634.18,10.135
Moong(Green Gram),2019,Kharif     ,Andhra Pradesh,13444,5138,899.2,2309141.44,4974.28,0.625384615
Moong(Green Gram),2019,Rabi       ,Andhra Pradesh,93535,81072,899.2,16065571.6,34607.95,0.885384615
Niger seed,2019,Rabi       ,Andhra Pradesh,4256,1409,899.2,731010.56,1574.72,0.33
Oilseeds total,2019,Kharif     ,Andhra Pradesh,712037,2914652,899.2,122299475.1,263453.69,8.527692308
Oilseeds total,2019,Rabi       ,Andhra Pradesh,141100,250093,899.2,24235336,52207,1.720769231
Onion,2019,Kharif     ,Andhra Pradesh,23864,524198,899.2,4098880.64,8829.68,22.22444444
Onion,2019,Rabi       ,Andhra Pradesh,12250,256890,899.2,2104060,4532.5,21.7675
Other  Rabi pulses,2019,Rabi       ,Andhra Pradesh,10770,11296,899.2,1849855.2,3984.9,1.23
Other Kharif pulses,2019,Kharif     ,Andhra Pradesh,1715,850,899.2,294568.4,634.55,0.656666667
Potato,2019,Kharif     ,Andhra Pradesh,453,6648,899.2,77807.28,167.61,12.21
Potato,2019,Rabi       ,Andhra Pradesh,1050,15919,899.2,180348,388.5,13.155
Ragi,2019,Kharif     ,Andhra Pradesh,25660,31913,899.2,4407361.6,9494.2,1.315
Ragi,2019,Rabi       ,Andhra Pradesh,7893,12385,899.2,1355701.68,2920.41,1.588888889
Rapeseed &Mustard,2019,Rabi       ,Andhra Pradesh,1882,912,899.2,323252.32,696.34,0.375
Rice,2019,Kharif     ,Andhra Pradesh,1526425,5342033,899.2,262178758,564777.25,3.517692308
Rice,2019,Rabi       ,Andhra Pradesh,829557,3798058,899.2,142484710.3,306936.09,3.873076923
Safflower,2019,Rabi       ,Andhra Pradesh,710,348,899.2,121949.6,262.7,0.475
Sannhamp,2019,Kharif     ,Andhra Pradesh,3365,0,899.2,577972.4,1245.05,0
Sannhamp,2019,Rabi       ,Andhra Pradesh,1133,0,899.2,194604.08,419.21,0
Sesamum,2019,Kharif     ,Andhra Pradesh,6197,1316,899.2,1064396.72,2292.89,0.286
Sesamum,2019,Rabi       ,Andhra Pradesh,32989,12129,899.2,5666190.64,12205.93,0.333076923
Small millets,2019,Kharif     ,Andhra Pradesh,19344,18085,899.2,3322525.44,7157.28,0.758333333
Small millets,2019,Rabi       ,Andhra Pradesh,3966,3990,899.2,681200.16,1467.42,0.921428571
Soyabean,2019,Kharif     ,Andhra Pradesh,1354,2367,899.2,232563.04,500.98,1.13
Soyabean,2019,Rabi       ,Andhra Pradesh,24,42,899.2,4122.24,8.88,1.39
Sugarcane,2019,Kharif     ,Andhra Pradesh,85911,6714729,899.2,14756073.36,31787.07,83.44538462
Sunflower,2019,Kharif     ,Andhra Pradesh,1869,1306,899.2,321019.44,691.53,1.23
Sunflower,2019,Rabi       ,Andhra Pradesh,6794,6877,899.2,1166937.44,2513.78,0.967692308
Sweet potato,2019,Kharif     ,Andhra Pradesh,54,895,899.2,9275.04,19.98,18.038
Sweet potato,2019,Rabi       ,Andhra Pradesh,360,6271,899.2,61833.6,133.2,16.747
Tapioca,2019,Kharif     ,Andhra Pradesh,6986,84845,899.2,1199915.36,2584.82,13.61166667
Tapioca,2019,Rabi       ,Andhra Pradesh,54,512,899.2,9275.04,19.98,14.415
Tobacco,2019,Kharif     ,Andhra Pradesh,36504,375719,899.2,6269927.04,13506.48,8.732352941
Tobacco,2019,Rabi       ,Andhra Pradesh,78051,165535,899.2,13406039.76,28878.87,2.428181818
Urad,2019,Kharif     ,Andhra Pradesh,15242,14254,899.2,2617965.92,5639.54,0.834615385
Urad,2019,Rabi       ,Andhra Pradesh,287929,315055,899.2,49454685.04,106533.73,0.944615385
Wheat,2019,Rabi       ,Andhra Pradesh,37,11,899.2,6355.12,13.69,0.155
other oilseeds,2019,Kharif     ,Andhra Pradesh,97782,2262487,899.2,16795036.32,36179.34,16.12818182
Arecanut,2019,Kharif     ,Puducherry,52,78,1317,8931.52,19.24,1.5
Bajra,2019,Kharif     ,Puducherry,14,36,1317,2404.64,5.18,2.57
Bajra,2019,Rabi       ,Puducherry,1,3,1317,171.76,0.37,3
Bajra,2019,Summer     ,Puducherry,7,18,1317,1202.32,2.59,2.57
Banana,2019,Kharif     ,Puducherry,273,16637,1317,46890.48,101.01,32.76666667
Black pepper,2019,Kharif     ,Puducherry,11,15,1317,1889.36,4.07,1.36
Cashewnut,2019,Kharif     ,Puducherry,145,65,1317,24905.2,53.65,0.426666667
Coconut ,2019,Whole Year ,Puducherry,1857,18661000,1317,318958.32,687.09,9474.625
Cotton(lint),2019,Kharif     ,Puducherry,500,1248,1317,85880,185,2.745
Dry chillies,2019,Kharif     ,Puducherry,2,26,1317,343.52,0.74,13
Dry chillies,2019,Rabi       ,Puducherry,3,41,1317,515.28,1.11,13.67
Dry chillies,2019,Summer     ,Puducherry,2,26,1317,343.52,0.74,13
Groundnut,2019,Kharif     ,Puducherry,1,3,1317,171.76,0.37,3
Groundnut,2019,Rabi       ,Puducherry,231,693,1317,39676.56,85.47,3
Groundnut,2019,Summer     ,Puducherry,21,63,1317,3606.96,7.77,3
Moong(Green Gram),2019,Rabi       ,Puducherry,12,9,1317,2061.12,4.44,0.75
Moong(Green Gram),2019,Summer     ,Puducherry,629,156,1317,108037.04,232.73,0.606666667
Onion,2019,Kharif     ,Puducherry,2,10,1317,343.52,0.74,5
Onion,2019,Summer     ,Puducherry,1,5,1317,171.76,0.37,5
Other  Rabi pulses,2019,Rabi       ,Puducherry,53,42,1317,9103.28,19.61,0.79
Other Kharif pulses,2019,Kharif     ,Puducherry,5,4,1317,858.8,1.85,0.8
Other Summer Pulses,2019,Summer     ,Puducherry,21,17,1317,3606.96,7.77,0.81
Ragi,2019,Kharif     ,Puducherry,32,77,1317,5496.32,11.84,2.41
Ragi,2019,Rabi       ,Puducherry,4,10,1317,687.04,1.48,2.5
Ragi,2019,Summer     ,Puducherry,23,55,1317,3950.48,8.51,2.39
Rice,2019,Kharif     ,Puducherry,4323,15171,1317,742518.48,1599.51,3.216666667
Rice,2019,Rabi       ,Puducherry,9397,28114,1317,1614028.72,3476.89,3.883333333
Rice,2019,Summer     ,Puducherry,4518,16060,1317,776011.68,1671.66,3.55
Sesamum,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Sesamum,2019,Rabi       ,Puducherry,10,10,1317,1717.6,3.7,1
Sesamum,2019,Summer     ,Puducherry,203,152,1317,34867.28,75.11,0.57
Small millets,2019,Kharif     ,Puducherry,14,17,1317,2404.64,5.18,1.21
Sugarcane,2019,Kharif     ,Puducherry,1308,183120,1317,224662.08,483.96,140
Sweet potato,2019,Kharif     ,Puducherry,5,45,1317,858.8,1.85,9
Sweet potato,2019,Rabi       ,Puducherry,1,9,1317,171.76,0.37,9
Tapioca,2019,Kharif     ,Puducherry,170,4218,1317,29199.2,62.9,29.75
Tapioca,2019,Rabi       ,Puducherry,8,196,1317,1374.08,2.96,24.5
Turmeric,2019,Kharif     ,Puducherry,11,165,1317,1889.36,4.07,15
Urad,2019,Kharif     ,Puducherry,2,2,1317,343.52,0.74,1
Urad,2019,Rabi       ,Puducherry,146,146,1317,25076.96,54.02,1
Urad,2019,Summer     ,Puducherry,321,139,1317,55134.96,118.77,0.723333333
Arecanut,2019,Rabi       ,Assam,67223,52124,2084.7,11546222.48,24872.51,0.758181818
Arhar/Tur,2019,Kharif     ,Assam,5830,5040,2084.7,1001360.8,2157.1,0.865925926
Banana,2019,Whole Year ,Assam,49445,906683,2084.7,8492673.2,18294.65,18.07555556
Black pepper,2019,Whole Year ,Assam,3410,7664,2084.7,585701.6,1261.7,2.28962963
